#Datasets	MAS_A	MAS_B	UNS_A	UNS_B	MAS_av	UNS_Av
Two-component sensor histidine kinase PleC	0	0	1	0	0	0.5
ATP-binding protein ManX	2	1	1	0	1.5	0.5
Adenylylsulfate reductase beta-subunit (EC 1.8.99.2)	0	0	0	1	0	0.5
Formate dehydrogenase -O, gamma subunit (EC 1.2.1.2)	1	1	1	0	1	0.5
V-type ATP synthase subunit A (EC 3.6.3.14)	0	1	1	0	0.5	0.5
V-type ATP synthase subunit D (EC 3.6.3.14)	0	0	0	1	0	0.5
V-type ATP synthase subunit K (EC 3.6.3.14)	0	0	0	1	0	0.5
Cytochrome c heme lyase subunit CcmL	1	1	1	0	1	0.5
Carbon-monoxide dehydrogenase form II, large subunit (EC 1.2.99.2)	1	1	0	1	1	0.5
ATP synthase B' chain (EC 3.6.3.14)	1	0	0	1	0.5	0.5
outer membrane protein, MtrB	0	0	1	0	0	0.5
periplasmic decaheme cytochrome c, MtrD	0	0	1	0	0	0.5
Formate dehydrogenase alpha subunit (EC 1.2.1.2)	0	1	1	0	0.5	0.5
Formate dehydrogenase N alpha subunit (EC 1.2.1.2)	0	0	0	1	0	0.5
NAD-dependent formate dehydrogenase beta subunit	3	0	1	0	1.5	0.5
Coenzyme F420-reducing hydrogenase, gamma subunit	0	0	1	0	0	0.5
cytochrome-c3 hydrogenase delta chain	0	0	0	1	0	0.5
Ni,Fe-hydrogenase I cytochrome b subunit	0	0	0	1	0	0.5
Sulfhydrogenase II subunit b	0	0	1	0	0	0.5
[Ni/Fe] hydrogenase, group 1, large subunit	1	0	1	0	0.5	0.5
Sodium-transporting N-ATPase gamma subunit	0	0	1	0	0	0.5
Na(+)-translocating NADH-quinone reductase subunit A (EC 1.6.5.-)	1	1	0	1	1	0.5
Na(+)-translocating NADH-quinone reductase subunit F (EC 1.6.5.-)	1	1	0	1	1	0.5
Menaquinone-cytochrome C oxidoreductase, cytochrome C subunit	0	0	0	1	0	0.5
Putative succinate dehydrogenase cytochrome b subunit	0	0	1	0	0	0.5
putative succinate dehydrogenase [membrane anchor subunit] (succinic dehydrogenase)	1	0	0	1	0.5	0.5
Tetrathionate reductase subunit B	0	0	0	1	0	0.5
NADH-quinone oxidoreductase chain F 2 (EC 1.6.99.5)	0	1	1	0	0.5	0.5
Methylamine dehydrogenase heavy chain precursor (EC 1.4.99.3)	0	0	1	0	0	0.5
Cytochrome c-552 precursor	1	2	1	0	1.5	0.5
Cytochrome c4	3	3	0	1	3	0.5
Cytochrome C553 (soluble cytochrome f)	0	0	0	1	0	0.5
ATP-dependent RNA helicase Bcep18194_A5658	1	1	1	0	1	0.5
ATP-dependent RNA helicase DbpA	2	2	0	1	2	0.5
COG2047: Uncharacterized protein (ATP-grasp superfamily)	0	0	1	0	0	0.5
Ribonuclease HI-related protein 2	0	0	0	1	0	0.5
DNA-directed RNA polymerase subunit E''	0	0	1	0	0	0.5
DNA-directed RNA polymerase subunit K (EC 2.7.7.6)	1	0	1	0	0.5	0.5
DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)	2	0	1	0	1	0.5
FIG146085: 3'-to-5' oligoribonuclease A, Bacillus type	1	2	0	1	1.5	0.5
COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination	1	0	1	0	0.5	0.5
ribosomal protein L7Ae family protein	1	1	1	0	1	0.5
Transcriptional activator RfaH	1	4	0	1	2.5	0.5
RNA polymerase sigma factor SigZ	2	2	0	1	2	0.5
Sigma factor RpoE negative regulatory protein RseB precursor	0	1	0	1	0.5	0.5
Hypothetical ATP-binding protein, containing DUF265 domain	0	0	1	0	0	0.5
tRNAHis-5'-guanylyltransferase	1	1	0	1	1	0.5
Hypothetical YciO protein, TsaC/YrdC paralog	1	1	0	1	1	0.5
Glycine N-methyltransferase (EC 2.1.1.20)	0	1	0	1	0.5	0.5
L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1)	3	1	0	1	2	0.5
Cold shock protein CspE	0	0	0	1	0	0.5
Protein arginine N-methyltransferase 1 (EC 2.1.1.-)	0	1	1	0	0.5	0.5
Transcription repressor of multidrug efflux pump acrAB operon, TetR (AcrR) family	0	0	0	1	0	0.5
Glutaredoxin 3 (Grx3)	0	1	1	0	0.5	0.5
Putative exported protein clustered with Gamma-glutamyltranspeptidase	0	0	1	0	0	0.5
Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase (EC 3.6.1.-)	2	2	0	1	2	0.5
Nudix-like NDP and NTP phosphohydrolase YmfB	2	1	0	1	1.5	0.5
Organic hydroperoxide resistance protein	5	6	0	1	5.5	0.5
Paraquat-inducible protein B	1	1	1	0	1	0.5
Redox-sensitive transcriptional activator SoxR	2	1	0	1	1.5	0.5
Phage shock protein E	1	1	0	1	1	0.5
anti-sigma B factor RsbT	0	1	0	1	0.5	0.5
RsbS, negative regulator of sigma-B	0	3	1	0	1.5	0.5
Tellurite resistance protein TehB	0	0	0	1	0	0.5
Universal stress protein family 1	0	0	0	1	0	0.5
ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	2	2	1	0	2	0.5
ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components	0	1	1	0	0.5	0.5
Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17)	1	1	0	1	1	0.5
tRNA-specific 2-thiouridylase MnmA	2	2	1	0	2	0.5
Lipocalin-related protein and Bos/Can/Equ allergen	0	0	1	0	0	0.5
Sulfide dehydrogenase [flavocytochrome C] flavoprotein chain precursor (EC 1.8.2.-)	0	1	1	0	0.5	0.5
Sulfur oxidation protein SoxY	0	1	1	0	0.5	0.5
probable beta-D-galactosidase	0	0	1	0	0	0.5
ABC-type probable sulfate transporter, ATPase component	0	0	1	0	0	0.5
Sulfate-binding protein Sbp	1	0	1	0	0.5	0.5
tRNA 2-thiouridine synthesizing protein E (EC 2.8.1.-)	0	0	0	1	0	0.5
Arsenic efflux pump protein	0	0	1	0	0	0.5
Arsenical resistance operon repressor	1	1	0	1	1	0.5
Arsenical resistance operon trans-acting repressor ArsD	0	1	1	0	0.5	0.5
Metal-dependent hydrolases of the beta-lactamase superfamily III	1	0	0	1	0.5	0.5
Copper tolerance protein	1	0	0	1	0.5	0.5
Cytoplasmic copper homeostasis protein cutC	0	1	0	1	0.5	0.5
Periplasmic divalent cation tolerance protein cutA	1	0	0	1	0.5	0.5
Mycobacterial persistence regulator MprA (Two component response transcriptional regulatory protein)	0	0	0	1	0	0.5
TetR family regulatory protein of MDR cluster	0	0	1	0	0	0.5
Vancomycin response regulator VanR	1	0	1	0	0.5	0.5
Conjugative transfer protein TrbJ	0	0	0	1	0	0.5
Forms the bulk of type IV secretion complex that spans outer membrane and periplasm (VirB9)	3	2	1	0	2.5	0.5
Fibronectin/fibrinogen-binding protein	2	1	0	1	1.5	0.5
Phospholipase/lecithinase/hemolysin	0	0	0	1	0	0.5
Two-component sensor kinase SA14-24	0	0	1	0	0	0.5
Acetone carboxylase, gamma subunit (EC 6.4.1.6)	1	0	0	0	0.5	0
Alanine racemase, biosynthetic (EC 5.1.1.1)	2	0	0	0	1	0
Arginine N-succinyltransferase (EC 2.3.1.109)	1	1	0	0	1	0
Arginine pathway regulatory protein ArgR, repressor of arg regulon	1	2	0	0	1.5	0
Arginine/agmatine antiporter	1	0	0	0	0.5	0
Arginine/ornithine antiporter ArcD	4	4	0	0	4	0
Histidine ABC transporter, permease protein HisQ (TC 3.A.1.3.1)	0	1	0	0	0.5	0
Ornithine decarboxylase (EC 4.1.1.17)	1	0	0	0	0.5	0
Succinylglutamic semialdehyde dehydrogenase (EC 1.2.1.71)	1	1	0	0	1	0
2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-)	1	1	0	0	1	0
2-oxo-hepta-3-ene-1,7-dioic acid hydratase (EC 4.2.-.-)	0	1	0	0	0.5	0
3,4-dihydroxyphenylacetate 2,3-dioxygenase (EC 1.13.11.15)	1	0	0	0	0.5	0
Aromatic amino acid transport protein AroP	1	0	0	0	0.5	0
Homoprotocatechuate degradative operon repressor	1	1	0	0	1	0
Phenylalanine-specific permease	1	0	0	0	0.5	0
3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4)	2	1	0	0	1.5	0
Predicted transcriptional regulator LiuR of leucine degradation pathway, MerR family	0	1	0	0	0.5	0
Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system	1	2	0	0	1.5	0
Periplasmic chorismate mutase I precursor (EC 5.4.99.5)	1	0	0	0	0.5	0
Quinate/shikimate dehydrogenase [Pyrroloquinoline-quinone] (EC 1.1.99.25)	1	1	0	0	1	0
2,3-dihydroxyphenylpropionate 1,2-dioxygenase (EC 1.13.11.-)	1	0	0	0	0.5	0
3-phenylpropionate dioxygenase ferredoxin subunit	1	0	0	0	0.5	0
Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2)	3	4	0	0	3.5	0
Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	1	2	0	0	1.5	0
D-serine dehydratase transcriptional activator	0	1	0	0	0.5	0
Histidine utilization repressor	1	0	0	0	0.5	0
Acetoacetyl-CoA synthetase [leucine] (EC 6.2.1.16)	1	1	0	0	1	0
Beta-ureidopropionase (EC 3.5.1.6)	0	1	0	0	0.5	0
Homocitrate synthase (EC 2.3.3.14)	1	1	0	0	1	0
LL-diaminopimelate aminotransferase, predicted alternative	0	1	0	0	0.5	0
N-succinyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.17)	1	1	0	0	1	0
L-beta-lysine 5,6-aminomutase alpha subunit (EC 5.4.3.3)	1	0	0	0	0.5	0
L-lysine permease	2	2	0	0	2	0
Lysine 2-monooxygenase (EC 1.13.12.2)	0	1	0	0	0.5	0
Lysine decarboxylase, inducible (EC 4.1.1.18)	1	1	0	0	1	0
Saccharopine dehydrogenase (EC 1.5.1.9)	1	1	0	0	1	0
Saccharopine dehydrogenase [NADP , L-glutamate-forming] (EC 1.5.1.10)	1	3	0	0	2	0
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54)	2	2	0	0	2	0
Betaine--homocysteine S-methyltransferase (EC 2.1.1.5)	0	1	0	0	0.5	0
Cystathionine beta-lyase, type II (EC 4.4.1.8)	1	0	0	0	0.5	0
Methionine ABC transporter permease protein	1	1	0	0	1	0
O-acetylhomoserine sulfhydrylase (EC 2.5.1.49)	0	1	0	0	0.5	0
2-Oxobutyrate oxidase, putative	1	0	0	0	0.5	0
Glutamine-dependent 2-keto-4-methylthiobutyrate transaminase	1	1	0	0	1	0
Cyclohexadienyl dehydratase (EC 4.2.1.51)(EC 4.2.1.91)	0	1	0	0	0.5	0
Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family	2	1	0	0	1.5	0
DNA-binding response regulator, LuxR family, near polyamine transporter	1	1	0	0	1	0
Predicted polyamine sensor NspS, involved in biofilm formation	0	1	0	0	0.5	0
Putrescine transport system permease protein PotH (TC 3.A.1.11.2)	0	1	0	0	0.5	0
Putrescine transport system permease protein PotI (TC 3.A.1.11.2)	1	1	0	0	1	0
Putrescine/proton symporter, putrescine/ornithine antiporter PotE	1	0	0	0	0.5	0
S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50), prokaryotic class 1A	1	1	0	0	1	0
DUF742 protein, component of G-protein-coupled receptor (GPCR) system	1	0	0	0	0.5	0
P450 cytochrome, component of G-protein-coupled receptor (GPCR) system	0	1	0	0	0.5	0
Predicted 4-hydroxyproline dipeptidase	1	1	0	0	1	0
PutR, transcriptional activator of PutA and PutP	1	0	0	0	0.5	0
Gamma-glutamyl-GABA hydrolase (EC 3.5.1.94)	0	1	0	0	0.5	0
Putrescine importer	2	0	0	0	1	0
Putrescine utilization regulator	1	0	0	0	0.5	0
Sarcosine oxidase gamma subunit (EC 1.5.3.1)	1	0	0	0	0.5	0
FIG003492: Threonine dehydrogenase and related Zn-dependent dehydrogenases	0	1	0	0	0.5	0
Transcriptional regulator GabR of GABA utilization (GntR family with aminotransferase-like domain)	1	0	0	0	0.5	0
Allophanate hydrolase (EC 3.5.1.54)	1	1	0	0	1	0
Eukaryotic-type low-affinity urea transporter	0	1	0	0	0.5	0
HupE-UreJ family metal transporter	1	0	0	0	0.5	0
Urea carboxylase (EC 6.3.4.6)	3	1	0	0	2	0
Urea carboxylase-related ABC transporter, periplasmic substrate-binding protein	2	1	0	0	1.5	0
Urea carboxylase-related aminomethyltransferase (EC 2.1.2.10)	1	0	0	0	0.5	0
Urease accessory protein UreE	1	0	0	0	0.5	0
Urease beta subunit (EC 3.5.1.5)	0	1	0	0	0.5	0
2-ketogluconate transporter	3	3	0	0	3	0
HTH-type transcriptional regulator PtxR	1	0	0	0	0.5	0
2-methylaconitate racemase	1	0	0	0	0.5	0
Transcriptional activator of acetoin dehydrogenase operon AcoR	1	0	0	0	0.5	0
3-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	1	1	0	0	1	0
Probable electron transfer flavoprotein-quinone oxidoreductase FixC (EC 1.5.5.-)	0	1	0	0	0.5	0
2-oxoglutarate oxidoreductase, gamma subunit (EC 1.2.7.3)	0	1	0	0	0.5	0
hypothetical protein that often co-occurs with aconitase	1	1	0	0	1	0
Malate:quinone oxidoreductase (EC 1.1.5.4)	1	2	0	0	1.5	0
Putative Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	1	0	0	0	0.5	0
probable RuBisCo-expression protein CbbX	0	1	0	0	0.5	0
Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)	0	1	0	0	0.5	0
Rubisco activation protein CbbO	0	1	0	0	0.5	0
Xanthosine/inosine triphosphate pyrophosphatase	1	0	0	0	0.5	0
PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69)	1	1	0	0	1	0
Beta-glucuronidase (EC 3.2.1.31)	0	1	0	0	0.5	0
NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)	1	1	0	0	1	0
Alpha-glucosidase SusB (EC 3.2.1.20)	1	1	0	0	1	0
Chitodextrinase precursor (EC 3.2.1.14)	0	1	0	0	0.5	0
N-acetylglucosamine-regulated TonB-dependent outer membrane receptor	10	6	0	0	8	0
Phosphatase NagD predicted to act in N-acetylglucosamine utilization subsystem	1	0	0	0	0.5	0
predicted N-acetylglucosamine kinase, glucokinase-like (EC 2.7.1.59)	2	0	0	0	1	0
Predicted transcriptional regulator of N-Acetylglucosamine utilization, LacI family	1	1	0	0	1	0
PTS system, N-acetylglucosamine-specific IIA component	1	0	0	0	0.5	0
D-glycerate transporter (predicted)	1	2	0	0	1.5	0
D-galactonate transporter	1	1	0	0	1	0
4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17)	4	1	0	0	2.5	0
Altronate oxidoreductase (EC 1.1.1.58)	2	4	0	0	3	0
Galacturan 1,4-alpha-galacturonidase (EC 3.2.1.67)	2	1	0	0	1.5	0
Hexuronate utilization operon transcriptional repressor ExuR	1	1	0	0	1	0
Pectate lyase precursor (EC 4.2.2.2)	3	2	0	0	2.5	0
2,5-diketo-D-gluconic acid reductase B (EC 1.1.1.274)	1	1	0	0	1	0
2-Keto-D-gluconate dehydrogenase (EC 1.1.99.4), membrane-bound, flavoprotein	1	0	0	0	0.5	0
Gluconate transporter family protein	0	1	0	0	0.5	0
Low-affinity gluconate/H+ symporter GntU	1	0	0	0	0.5	0
Predicted nucleoside ABC transporter, ATP-binding component	1	1	0	0	1	0
Predicted nucleoside ABC transporter, substrate-binding component	0	1	0	0	0.5	0
D-tagatose 3-epimerase (EC 5.3.1.-)	1	0	0	0	0.5	0
Deoxyribose operon repressor, DeoR family	0	1	0	0	0.5	0
Putative deoxyribonuclease YjjV	1	1	0	0	1	0
L-arabinolactonase (EC 3.1.1.15)	1	1	0	0	1	0
OpcA, an allosteric effector of glucose-6-phosphate dehydrogenase, actinobacterial	1	1	0	0	1	0
Erythritol phosphate dehydrogenase EryB	0	1	0	0	0.5	0
CoA-acylating propionaldehyde dehydrogenase	0	1	0	0	0.5	0
Acetaldehyde dehydrogenase, acetylating, (EC 1.2.1.10) in gene cluster for degradation of phenols, cresols, catechol	3	1	0	0	2	0
Sugar/maltose fermentation stimulation protein homolog	0	1	0	0	0.5	0
Formaldehyde activating enzyme	1	0	0	0	0.5	0
Multiple sugar ABC transporter, membrane-spanning permease protein MsmF	2	1	0	0	1.5	0
Multiple sugar ABC transporter, substrate-binding protein	1	0	0	0	0.5	0
Fructose ABC transporter, ATP-binding component FrcA	1	0	0	0	0.5	0
Fructose ABC transporter, permease component FrcC	0	1	0	0	0.5	0
PTS system, fructose-specific IIB component (EC 2.7.1.69)	1	2	0	0	1.5	0
Transcriptional repressor of the fructose operon, DeoR family	0	1	0	0	0.5	0
D-glycerate 3-kinase (EC 2.7.1.31), plant type	1	1	0	0	1	0
Glyoxylate carboligase (EC 4.1.1.47)	1	0	0	0	0.5	0
Glycerol-3-phosphate ABC transporter, permease protein UgpA (TC 3.A.1.1.3)	0	1	0	0	0.5	0
Glycogen branching enzyme, GH-57-type, archaeal (EC 2.4.1.18)	0	1	0	0	0.5	0
Putative glycogen debranching enzyme, archaeal type, TIGR01561	3	0	0	0	1.5	0
Transcriptional regulator, LysR family, in glycolate utilization operon	1	0	0	0	0.5	0
Major myo-inositol transporter IolT	0	1	0	0	0.5	0
Methylmalonate-semialdehyde dehydrogenase [inositol] (EC 1.2.1.27)	1	1	0	0	1	0
Myo-inositol 2-dehydrogenase 2 (EC 1.1.1.18)	1	0	0	0	0.5	0
Predicted transcriptional regulator of the myo-inositol catabolic operon	1	0	0	0	0.5	0
Sodium/myo-inositol cotransporter	1	1	0	0	1	0
Alpha-L-arabinofuranosidase II precursor (EC 3.2.1.55)	3	3	0	0	3	0
Arabinose-proton symporter	1	0	0	0	0.5	0
Hypothetical glycoside hydrolase, family 43, similar to arabinosidase	6	6	0	0	6	0
L-2-keto-3-deoxyarabonate dehydratase (EC 4.2.1.43)	1	0	0	0	0.5	0
Transcriptional regulator of the arabinose operon in Shewanella, GntR family	0	1	0	0	0.5	0
Possible GPH family transporter (TC 2.A.2) for arabinosides	1	2	0	0	1.5	0
Predicted L-arabinose ABC transport system, periplasmic arabinose-binding protein	1	0	0	0	0.5	0
Fucose permease	2	1	0	0	1.5	0
Possible alternative L-fucose mutarotase	0	1	0	0	0.5	0
2,4-diketo-3-deoxy-L-fuconate hydrolase	1	0	0	0	0.5	0
2-keto-3-deoxy-L-fuconate dehydrogenase	2	0	0	0	1	0
L-fuconolactone hydrolase	0	1	0	0	0.5	0
L-rhamnose operon transcriptional activator RhaR	0	1	0	0	0.5	0
Pedicted L-rhamnose permease, NCS1 Family	1	1	0	0	1	0
Predicted alpha-L-rhamnosidase	0	1	0	0	0.5	0
Predicted L-rhamnose ABC transporter, substrate-binding component	1	1	0	0	1	0
Rhamnulokinase RhaK in alpha-proteobacteria (EC 2.7.1.5)	1	1	0	0	1	0
Transcriptional regulator of rhamnose utilization, GntR family	1	2	0	0	1.5	0
Transcriptional regulator of rhamnose utilization, LacI family	1	0	0	0	0.5	0
Lactate-responsive regulator LldR in Betaproteobacteria, LysR family	0	1	0	0	0.5	0
Galactoside O-acetyltransferase (EC 2.3.1.18)	1	1	0	0	1	0
Mlc, transcriptional repressor of MalT (the transcriptional activator of maltose regulon) and manXYZ operon	0	1	0	0	0.5	0
Periplasmic alpha-amylase (EC 3.2.1.1)	1	1	0	0	1	0
Predicted glucose transporter in maltodextrin utilization gene cluster	1	0	0	0	0.5	0
Mannitol operon activator, BglG family	0	1	0	0	0.5	0
PTS system, mannitol-specific IIA component	0	1	0	0	0.5	0
D-mannose isomerase (EC 5.3.1.7)	2	2	0	0	2	0
Endo-1,4-beta-mannosidase	1	1	0	0	1	0
Endo-alpha-mannosidase	1	1	0	0	1	0
Fructokinase in mannoside utilization gene cluster (EC 2.7.1.4)	1	1	0	0	1	0
Predicted mannose transporter, GGP family	3	4	0	0	3.5	0
Methylcobalamin:coenzyme M methyltransferase, methanol-specific	1	0	0	0	0.5	0
Propionate catabolism operon regulatory protein PrpR	1	0	0	0	0.5	0
Methylglyoxal synthase (EC 4.2.3.3)	3	1	0	0	2	0
N-acetylgalactosamine kinase, ROK-type (EC 2.7.1.157)	1	1	0	0	1	0
Predicted cytoplasmic N-Acetyl-D-galactosamine oligosaccharide hydrolase	0	1	0	0	0.5	0
Predicted secreted alpha-N-acetylgalactosaminidase (EC 3.2.1.49)	2	1	0	0	1.5	0
Transcriptional repressor of aga operon	1	0	0	0	0.5	0
Aerobic C4-dicarboxylate transporter for fumarate, L-malate, D-malate, succunate	2	1	0	0	1.5	0
Acetyl-CoA synthetase (ADP-forming) alpha chain (EC 6.2.1.13)	1	1	0	0	1	0
Pyruvate:ferredoxin oxidoreductase, delta subunit (EC 1.2.7.1)	1	0	0	0	0.5	0
isobutyryl-CoA dehydrogenase	1	0	0	0	0.5	0
putative isobutyryl-CoA mutase, chain B	0	1	0	0	0.5	0
Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase	0	2	0	0	1	0
Phosphoglucomutase (EC 5.4.2.2)	0	1	0	0	0.5	0
Predicted sucrose permease, MFS family, FucP subfamily	1	0	0	0	0.5	0
Predicted sucrose-specific TonB-dependent receptor	1	0	0	0	0.5	0
Xylose oligosaccharides ABC transporter, ATP-binding protein 1	1	0	0	0	0.5	0
Glucose/mannose:H+ symporter GlcP	1	1	0	0	1	0
TcuR: regulates tcuABC genes used in utilization of tricarballylate	1	0	0	0	0.5	0
D-xylose proton-symporter XylE	5	3	0	0	4	0
Xylonate dehydratase (EC 4.2.1.82)	1	0	0	0	0.5	0
Cell division protein ZipA	0	1	0	0	0.5	0
Ribonuclease III (EC 3.1.26.3)	4	2	0	0	3	0
p53-regulating protein kinase (human PRPK/yeast YGR262c)	1	0	0	0	0.5	0
GDP-mannose 6-dehydrogenase (EC 1.1.1.132)	1	1	0	0	1	0
Capsular polysaccharide ABC transporter, ATP-binding protein KpsT	2	0	0	0	1	0
Capsular polysaccharide ABC transporter, permease protein KpsM	1	0	0	0	0.5	0
Capsular polysaccharide biosynthesis protein CapD	0	1	0	0	0.5	0
Capsular polysaccharide export system protein KpsS	1	1	0	0	1	0
Oligosaccharide repeat unit polymerase Wzy	0	1	0	0	0.5	0
Vi polysaccharide export inner-membrane protein vexB	1	1	0	0	1	0
Vi polysaccharide export inner-membrane protein vexD	0	1	0	0	0.5	0
Colanic acid biosynthesis glycosyl transferase WcaE	0	1	0	0	0.5	0
Lipopolysaccharide biosynthesis protein WzxC	1	0	0	0	0.5	0
dTDP-rhamnosyl transferase RfbF (EC 2.-.-.-)	2	1	0	0	1.5	0
LptA, protein essential for LPS transport across the periplasm	1	1	0	0	1	0
Predicted hydrolase of the metallo-beta-lactamase superfamily, clustered with KDO2-Lipid A biosynthesis genes	3	2	0	0	2.5	0
regulator of length of O-antigen component of lipopolysaccharide chains	1	0	0	0	0.5	0
Ser/Thr protein phosphatase family protein, UDP-2,3-diacylglucosamine hydrolase (EC 3.6.1.54) homolog	2	0	0	0	1	0
Legionaminic acid biosynthesis protein PtmA	0	1	0	0	0.5	0
Legionaminic acid biosynthesis protein PtmG	0	1	0	0	0.5	0
Fe(2+)/alpha-ketoglutarate-dependent dioxygenase LpxO	0	1	0	0	0.5	0
Sensor protein basS/pmrB (EC 2.7.3.-)	1	1	0	0	1	0
Cytoplasmic membrane protein FsxA	1	1	0	0	1	0
FIG00820327: hypothetical protein	1	1	0	0	1	0
Uncharacterized protein YrbK clustered with lipopolysaccharide transporters	0	1	0	0	0.5	0
FIG043197: Inositol monophosphatase family protein	0	1	0	0	0.5	0
Protein of unknown function DUF374	0	1	0	0	0.5	0
Heptosyltransferase family protein, lipopolysaccharide core biosynthesis	0	1	0	0	0.5	0
Lipopolysaccharide core biosynthesis glycosyltransferase, group 2 family protein (EC 2.4.1.-)	1	1	0	0	1	0
Osmolarity sensory histidine kinase EnvZ	1	0	0	0	0.5	0
Murein-DD-endopeptidase (EC 3.4.99.-)	1	1	0	0	1	0
Lipopolysaccharide cholinephosphotransferase LicD1 (EC 2.7.8.-)	0	1	0	0	0.5	0
putative glycosyltransferase - possibly involved in cell wall localization and side chain formation of rhamnose-glucose polysaccharide	0	1	0	0	0.5	0
Capsular polysaccharide synthesis enzyme Cap8C	0	1	0	0	0.5	0
N-acetylmannosamine kinase (EC 2.7.1.60)	0	1	0	0	0.5	0
Predicted sialic acid transporter	4	3	0	0	3.5	0
PTS system, N-acetylmuramic acid-specific IIB component (EC 2.7.1.69)	0	1	0	0	0.5	0
Sialic acid transporter (permease) NanT	1	0	0	0	0.5	0
Sialidase (EC 3.2.1.18)	1	1	0	0	1	0
TRAP-type transport system, periplasmic component, predicted N-acetylneuraminate-binding protein	0	1	0	0	0.5	0
CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)	1	0	0	0	0.5	0
COG1887: Putative glycosyl/glycerophosphate transferases involved in teichoic acid biosynthesis TagF/TagB/EpsJ/RodC	1	3	0	0	2	0
Putative teichuronic acid biosynthesis glycosyl transferase TuaC	1	0	0	0	0.5	0
tRNA-dependent lipid II--amino acid ligase	1	1	0	0	1	0
Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48)	1	1	0	0	1	0
UDP-N-acetyl-D-mannosaminuronate dehydrogenase	1	0	0	0	0.5	0
Xanthan biosynthesis acetyltransferase GumF	1	0	0	0	0.5	0
Xanthan biosynthesis chain length determinant protein GumC	1	0	0	0	0.5	0
Xanthan biosynthesis exopolysaccharide polymerase GumE	0	1	0	0	0.5	0
Xanthan biosynthesis glucuronosyltransferase GumK	1	0	0	0	0.5	0
Xanthan biosynthesis glycosyltransferase GumD	1	1	0	0	1	0
Xanthan biosynthesis glycosyltransferase GumH	1	1	0	0	1	0
Xanthan biosynthesis glycosyltransferase GumI	1	1	0	0	1	0
Xanthan biosynthesis oligosaccharidyl-lipid flippase GumJ	0	1	0	0	0.5	0
Xanthan biosynthesis pyruvyltransferase GumL	1	0	0	0	0.5	0
ATPase component CbiO of energizing module of cobalt ECF transporter	0	1	0	0	0.5	0
Cobalt-precorrin-3b C17-methyltransferase	1	1	0	0	1	0
CobN component of cobalt chelatase involved in B12 biosynthesis	0	1	0	0	0.5	0
Duplicated ATPase component CbrU of energizing module of predicted cobalamin ECF transporter	0	1	0	0	0.5	0
Optional hypothetical component of the B12 transporter BtuN	1	0	0	0	0.5	0
Sirohydrochlorin cobaltochelatase (EC 4.99.1.3)	0	1	0	0	0.5	0
Predicted transcriptional regulator of pyridoxine metabolism	1	1	0	0	1	0
Proposed lipoate regulatory protein YbeD	1	1	0	0	1	0
Pyridoxal kinase (EC 2.7.1.35)	1	1	0	0	1	0
Bilin biosynthesis protein MpeU	0	1	0	0	0.5	0
Heme oxygenase (EC 1.14.99.3)	0	1	0	0	0.5	0
ATPase component BioM of energizing module of biotin ECF transporter	0	1	0	0	0.5	0
2-iminoacetate synthase (ThiH) (EC 4.1.99.19)	1	1	0	0	1	0
Putative phosphatase YieH	0	1	0	0	0.5	0
Sulfur carrier protein ThiS	1	0	0	0	0.5	0
Thiamin ABC transporter, ATPase component	1	0	0	0	0.5	0
Pantothenate kinase type II, eukaryotic (EC 2.7.1.33)	1	0	0	0	0.5	0
Acyl carrier protein phosphodiesterase (EC 3.1.4.14)	2	2	0	0	2	0
Coenzyme F420-0:L-glutamate ligase	1	1	0	0	1	0
Coenzyme PQQ synthesis protein B	1	1	0	0	1	0
Coenzyme PQQ synthesis protein D	0	1	0	0	0.5	0
Cytochrome c-type biogenesis protein CcsA/ResC	1	1	0	0	1	0
